Node Number	X Location (m)	Y Location (m)	Z Location (m)	
273	-8.0714e-004	-2.7052e-003	0.	
274	7.9217e-004	2.6863e-003	0.	
275	4.923e-005	2.6837e-003	0.	
276	-3.3228e-005	-2.6977e-003	0.	
277	-4.9598e-004	1.5026e-003	0.	
278	5.3191e-004	-4.947e-004	0.	
279	5.0213e-004	-1.455e-003	0.	
280	4.8909e-004	5.6782e-004	0.	
281	4.7807e-004	1.5165e-003	0.	
282	-4.9618e-004	-1.4976e-003	0.	
283	5.9352e-004	3.5953e-003	0.	
284	-9.8762e-005	3.1599e-003	0.	
285	-5.9163e-004	-3.596e-003	0.	
286	1.0208e-004	-3.1604e-003	0.	
287	-4.4941e-004	-2.4418e-003	0.	
288	4.5532e-004	2.4394e-003	0.	
289	5.3046e-004	-2.4416e-003	0.	
290	-5.1134e-004	2.4307e-003	0.	
291	1.1188e-003	-4.8459e-004	0.	
292	1.1664e-003	4.7851e-004	0.	
293	1.4501e-004	1.5084e-003	0.	
294	1.4498e-004	-1.4916e-003	0.	
295	1.4488e-004	5.084e-004	0.	
296	1.3377e-004	-4.8658e-004	0.	
297	-8.6946e-004	1.503e-003	0.	
298	-8.6953e-004	5.0316e-004	0.	
299	1.1505e-003	-1.504e-003	0.	
300	-8.6752e-004	-1.4996e-003	0.	
301	-8.7196e-004	-4.9261e-004	0.	
302	1.1091e-003	1.5065e-003	0.	
303	-5.098e-004	-1.1477e-003	0.	
304	4.8866e-004	8.55e-004	0.	
305	-5.1014e-004	1.8597e-003	0.	
306	-4.8709e-004	-2.1402e-003	0.	
307	4.9045e-004	-1.1475e-003	0.	
308	4.8947e-004	-1.5203e-004	0.	
309	4.904e-004	1.8527e-003	0.	
310	-5.1004e-004	-1.484e-004	0.	
311	8.6294e-004	-1.5073e-003	0.	
312	-5.0943e-004	8.5082e-004	0.	
313	-1.1184e-003	4.748e-004	0.	
314	-1.1603e-003	-4.7835e-004	0.	
315	-1.3211e-004	-4.9401e-004	0.	
316	8.6306e-004	-5.0729e-004	0.	
317	-1.3705e-004	4.9275e-004	0.	
318	-1.3695e-004	-1.5073e-003	0.	
319	-1.3692e-004	1.4928e-003	0.	
320	-1.1355e-003	1.5264e-003	0.	
321	-4.9525e-004	1.1299e-003	0.	
322	8.9416e-004	1.4968e-003	0.	
323	4.9133e-004	2.1379e-003	0.	
324	8.6305e-004	4.9276e-004	0.	
325	4.9457e-004	1.1387e-003	0.	
326	-5.0545e-004	-1.8614e-003	0.	
327	-1.1223e-003	-1.5045e-003	0.	
328	4.9772e-004	-1.8778e-003	0.	
329	-4.9134e-004	1.3305e-004	0.	
330	4.9456e-004	1.3868e-004	0.	
331	-4.9499e-004	-8.7227e-004	0.	
332	4.9455e-004	-8.6132e-004	0.	
333	-8.2621e-004	3.3091e-003	0.	
334	8.2785e-004	-3.3094e-003	0.	
335	3.7931e-004	2.9574e-003	0.	
336	-3.7558e-004	-2.9589e-003	0.	
337	1.9687e-004	-2.6687e-003	0.	
338	-1.7341e-004	2.6405e-003	0.	
339	-1.1958e-003	2.4427e-003	0.	
340	1.2046e-003	-2.4562e-003	0.	
341	1.0387e-003	2.3919e-003	0.	
