Node Number	X Location (m)	Y Location (m)	Z Location (m)	
290	2.2159e-003	-1.874e-003	0.	
291	2.1225e-003	-1.7821e-003	0.	
292	1.9957e-003	-1.75e-003	0.	
293	1.87e-003	-1.7865e-003	0.	
294	1.7799e-003	-1.8815e-003	0.	
295	1.7502e-003	-2.0089e-003	0.	
296	1.7889e-003	-2.134e-003	0.	
297	1.8857e-003	-2.2223e-003	0.	
298	2.0133e-003	-2.2496e-003	0.	
299	2.1377e-003	-2.2087e-003	0.	
300	2.2246e-003	-2.1099e-003	0.	
301	-1.75e-003	3.e-003	0.	
302	-1.7842e-003	3.1261e-003	0.	
303	-1.8777e-003	3.218e-003	0.	
304	-2.0046e-003	3.25e-003	0.	
305	-2.1307e-003	3.2131e-003	0.	
306	-2.2207e-003	3.1173e-003	0.	
307	-2.2498e-003	2.9899e-003	0.	
308	-2.2107e-003	2.8654e-003	0.	
309	-2.1132e-003	2.7771e-003	0.	
310	-1.9853e-003	2.7504e-003	0.	
311	-1.8616e-003	2.7918e-003	0.	
312	-1.7754e-003	2.8901e-003	0.	
313	-7.5e-004	3.e-003	0.	
314	-7.8444e-004	3.1266e-003	0.	
315	-8.7775e-004	3.2181e-003	0.	
316	-1.0048e-003	3.25e-003	0.	
317	-1.1309e-003	3.213e-003	0.	
318	-1.2206e-003	3.1176e-003	0.	
319	-1.2498e-003	2.9899e-003	0.	
320	-1.2106e-003	2.8652e-003	0.	
321	-1.1134e-003	2.7772e-003	0.	
322	-9.8563e-004	2.7504e-003	0.	
323	-8.6213e-004	2.7915e-003	0.	
324	-7.7579e-004	2.8894e-003	0.	
325	2.5e-004	3.e-003	0.	
326	2.1549e-004	3.1267e-003	0.	
327	1.222e-004	3.2181e-003	0.	
328	-4.9955e-006	3.25e-003	0.	
329	-1.308e-004	3.2131e-003	0.	
330	-2.2038e-004	3.118e-003	0.	
331	-2.498e-004	2.9899e-003	0.	
332	-2.1019e-004	2.8646e-003	0.	
333	-1.1338e-004	2.7772e-003	0.	
334	1.4129e-005	2.7504e-003	0.	
335	1.3792e-004	2.7915e-003	0.	
336	2.242e-004	2.8894e-003	0.	
337	1.25e-003	3.e-003	0.	
338	1.2157e-003	3.1263e-003	0.	
339	1.1221e-003	3.2181e-003	0.	
340	9.9467e-004	3.2499e-003	0.	
341	8.6902e-004	3.2129e-003	0.	
342	7.7952e-004	3.1179e-003	0.	
343	7.502e-004	2.99e-003	0.	
344	7.8978e-004	2.8647e-003	0.	
345	8.8649e-004	2.7773e-003	0.	
346	1.0139e-003	2.7504e-003	0.	
347	1.138e-003	2.7916e-003	0.	
348	1.2244e-003	2.8899e-003	0.	
349	2.25e-003	3.e-003	0.	
350	2.2158e-003	3.1262e-003	0.	
351	2.1219e-003	3.2183e-003	0.	
352	1.9944e-003	3.2499e-003	0.	
353	1.869e-003	3.2129e-003	0.	
354	1.7792e-003	3.1172e-003	0.	
355	1.7502e-003	2.9898e-003	0.	
356	1.7894e-003	2.8653e-003	0.	
357	1.8862e-003	2.7774e-003	0.	
358	2.0138e-003	2.7504e-003	0.	
359	2.1382e-003	2.7916e-003	0.	
360	2.2247e-003	2.8903e-003	0.	
361	-1.75e-003	4.e-003	0.	
362	-1.7841e-003	4.126e-003	0.	
363	-1.8775e-003	4.218e-003	0.	
364	-2.0042e-003	4.25e-003	0.	
365	-2.1301e-003	4.2135e-003	0.	
366	-2.2205e-003	4.1178e-003	0.	
367	-2.2498e-003	3.9906e-003	0.	
368	-2.211e-003	3.8659e-003	0.	
369	-2.1137e-003	3.7773e-003	0.	
370	-1.9856e-003	3.7504e-003	0.	
371	-1.8617e-003	3.7917e-003	0.	
372	-1.7754e-003	3.8903e-003	0.	
373	-7.5e-004	4.e-003	0.	
374	-7.8459e-004	4.1269e-003	0.	
375	-8.7801e-004	4.2182e-003	0.	
376	-1.0045e-003	4.25e-003	0.	
377	-1.1298e-003	4.2136e-003	0.	
378	-1.2199e-003	4.1189e-003	0.	
379	-1.2499e-003	3.9918e-003	0.	
380	-1.2115e-003	3.8667e-003	0.	
381	-1.1149e-003	3.7779e-003	0.	
382	-9.866e-004	3.7504e-003	0.	
383	-8.6237e-004	3.7913e-003	0.	
384	-7.7578e-004	3.8894e-003	0.	
385	2.5e-004	4.e-003	0.	
386	2.1542e-004	4.1269e-003	0.	
387	1.2224e-004	4.2181e-003	0.	
388	-4.6677e-006	4.25e-003	0.	
389	-1.3027e-004	4.2134e-003	0.	
390	-2.2001e-004	4.1187e-003	0.	
391	-2.4982e-004	3.9906e-003	0.	
392	-2.1054e-004	3.8652e-003	0.	
393	-1.1404e-004	3.7775e-003	0.	
394	1.3921e-005	3.7504e-003	0.	
395	1.3801e-004	3.7915e-003	0.	
396	2.2422e-004	3.8894e-003	0.	
397	1.25e-003	4.e-003	0.	
398	1.2157e-003	4.1263e-003	0.	
399	1.1223e-003	4.218e-003	0.	
400	9.9519e-004	4.25e-003	0.	
401	8.6974e-004	4.2134e-003	0.	
402	7.7993e-004	4.1186e-003	0.	
403	7.5017e-004	3.9907e-003	0.	
404	7.8932e-004	3.8654e-003	0.	
405	8.8587e-004	3.7776e-003	0.	
406	1.0137e-003	3.7504e-003	0.	
407	1.1381e-003	3.7916e-003	0.	
408	1.2244e-003	3.8899e-003	0.	
409	2.25e-003	4.e-003	0.	
410	2.2159e-003	4.1261e-003	0.	
411	2.1219e-003	4.2182e-003	0.	
412	1.9948e-003	4.2499e-003	0.	
413	1.8694e-003	4.2132e-003	0.	
414	1.7795e-003	4.1178e-003	0.	
415	1.7502e-003	3.9907e-003	0.	
416	1.789e-003	3.8659e-003	0.	
417	1.8857e-003	3.7776e-003	0.	
418	2.0134e-003	3.7504e-003	0.	
